term,abbr_by_first_letters
внутрихромосомный обмен,ВО
био-,Б
синдром тромбоза поперечного,СТП
электрод,Э
сердце спортивное,СС
Дьяконова ринопластика,ДР
Фатера-Пачини тельце,ФПТ
Кристеллера метод,КМ
коэффициент выживаемости,КВ
плацентосканирование,П
Labyrinthi,L
торон,Т
подвздошная ветвь,ПВ
автоматизм чувственный,АЧ
мело-,М
отек кожи ограниченный болезненный,ОКОБ
Швейггера пинцет,ШП
Tobler,T
Bordetella parapertussis,BP
нейтропения наследственная доброкачественная,ННД
Kirschner,K
Jadassohn,J
полипоз,П
DL50,D
мосто-ретикулярно-спинномозговой путь,МРСП
акромикрия врожденная,АВ
Botallo,B
симптом неврологический общемозговой,СНО
Рейн,Р
муциноз кожи,МК
бериллиоз кожи,БК
Palpebrales,P
дукторадиография,Д
псевдоцирроз печени перикардитический,ППП
Дюбуа абсцесс,ДА
гемин солянокислый,ГС
Мерфи артропластика,МА
бактерицидность,Б
кольпография,К
орбито-,О
цитоподии,Ц
Харди,Х
Dubois,D
санитарное отделение роты,СОР
экскориация,Э
сверхценное увлечение,СУ
остеоклазия,О
d'Acosta,D
локтевой отросток,ЛО
Кемпа симптом,КС
гипертелоризм,Г
Штелльвага симптом,ШС
губы половые малые,ГПМ
Соколова проба,СП
Бюлау дренаж,БД
уретеропиелостомия,У
Помпе болезнь,ПБ
Оппеля гастропексия,ОГ
Бюрнье,Б
Гарсии,Г
Коула синдром,КС
"Episclerales ramuli,",ER
синдром перекреста зрительных нервов,СПЗН
гиперемия,Г
митохондриальный матрикс,ММ
интерреналовое тело,ИТ
радиоиммунологические методы,РМ
буккальный,Б
гетерокариозис,Г
нейроаллергия,Н
"Massetericae,",M
атретическое тело,АТ
миелотомия,М
Gartner,G
оволемма,О
орт-,О
брутто-коэффициент воспроизводства,БКВ
"Innominatus truncus,",IT
Вьессена сосуды,ВС
геминхлорид,Г
"Costovertebrale anterius,",CA
Боброва аппарат,БА
Бира анестезия,БА
Rosen,R
макролиды,М
дентиногенез,Д
Гужеро - Блюма синдром,ГБС
Гиса принцип,ГП
синопсия,С
Rathke,R
Royle,R
ко-,К
Schwartze,S
вывих яичка,ВЯ
штихель,Ш
биомикроофтальмоскопия,Б
отсасыватель слюны,ОС
конфронтация,К
глоссалгия,Г
парасомния,П
Везалия отверстие,ВО
Lingularis inferior ramus,LIR
Schumacher,S
Яснова гвоздь,ЯГ
Хольцов,Х
микрофалангия,М
Клерамбо синдром,КС
преглаукома,П
пигментация,П
трофо-,Т
Lewis,L
психомоторика,П
Oppolzer,O
"Hepatocavoduodenale (Klaatsch),",H(
гликолипидозы,Г
лепоривирусы,Л
микрокристаллическая проба,МП
Nodi lymphatici subscapulares,NLS
кодоны эквивалентные,КЭ
Ortner,O
миостатика,М
Штейнманна гвоздь,ШГ
Вернике аллопсихоз,ВА
Эванса скотометрическая схема,ЭСС
критерий невменяемости медицинский,КНМ
Жаннеля,Ж
аминопурины,А
гипергликемический коэффициент,ГК
круротомия,К
аудиометрия,А
блокада альфа-ритма,БАР
"medius (BNA),",M(
политоксикомания,П
Львова операция,ЛО
Usher,U
полип хориальный деструирующий,ПХД
апертура таза нижняя,АТН
кефалокраниокласт,К
аутотопоагнозия,А
Iliopsoas,I
тонзиллит,Т
галактоземия,Г
псевдо-,П
саркодовые,С
рот первичный,РП
Хегара расширитель,ХР
Хамилтона признак,ХП
плодовитость брачная,ПБ
Бишоффа миелотомия,БМ
миелоцит,М
Альтманн,А
Blaskovics,B
ретинол,Р
декстроверсия матки,ДМ
ахромия паразитарная,АП
Ендрашика,Е
Cerebrales superiores,CS
астигмоофтальмометр,А
кератит-розацеа,КР
шов 1,Ш1
Retinaculum musculorum peroneorum inferius,RMPI
глаз амавротический кошачий,ГАК
радиоиндикация,Р
элиминация хромосомы,ЭХ
Шнитцлера метастаз,ШМ
